TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur
24.01.2001 00:00:00;4;446;8180.9250;1;0;0.1;0.0999;8170.7199
24.01.2001 00:00:00;7;80;8180.9250;1;0;0.1;0.1000;8177.6001
07.02.2001 00:00:00;44;-1550;-25512.1349;2;0;0;-0.0953;-7688.00
07.02.2001 00:00:00;20;130;8064.9299;1;0;0.1;0.0999;8060
07.02.2001 00:00:00;7;-80;-68113.1162;2;0;0;-0.0978;-7889.6002
07.02.2001 00:00:00;33;2022;8064.9299;1;0;0.1;0.1000;8061.714
21.02.2001 00:00:00;5;199;9343.2095;3;0;0.33;0.1223;10035.5701
21.02.2001 00:00:00;22;-191;-9523.9118;3;0;0.1;-0.0899;-7378.3302
21.02.2001 00:00:00;20;128;-354226.2903;3;0;0.2;0.0991;8128.0
21.02.2001 00:00:00;33;-2022;-8064.9299;2;0;0;-0.1017;-8340.750
22.02.2001 00:00:00;22;-212;-27250.9198;2;0;0;-0.0972;-7957.4200
28.02.2001 00:00:00;46;223;7962.3981;1;0;0.1;0.0998;7947.72
28.02.2001 00:00:00;20;-124;-8443.7943;3;0;0.1;-0.0919;-7316
28.02.2001 00:00:00;4;-446;-8180.9250;2;0;0;-0.0952;-7582
28.02.2001 00:00:00;33;1942;7962.3981;1;0;0.1;0.1000;7962.2
01.03.2001 00:00:00;20;-134;-24849.9867;2;0;0;-0.0978;-7705.0
14.03.2001 00:00:00;17;134;7653.6343;1;0;0.1;0.0994;7604.50
14.03.2001 00:00:00;28;549;7653.6343;1;0;0.1;0.1000;7650.8639
14.03.2001 00:00:00;46;-223;-64212.2139;2;0;0;-0.0967;-7403.6
21.03.2001 00:00:00;46;223;7608.4307;1;0;0.1;0.0997;7586.46
22.03.2001 00:00:00;5;-255;-14966.0936;3;0;0.165;-0.1497;-10982.0853
26.03.2001 00:00:00;5;-114;-34539.7449;3;0;0.1;-0.0679;-5091.9240
28.03.2001 00:00:00;12;262;7668.6751;1;0;0.1;0.0998;7655.378
28.03.2001 00:00:00;26;133;7668.6751;1;0;0.1;0.1000;7665.6678
02.04.2001 00:00:00;5;-167;-76576.0560;2;0;0;-0.0954;-7402.7759
04.04.2001 00:00:00;13;383;7601.4040;1;0;0.1;0.0998;7583.3997
11.04.2001 00:00:00;17;116;7959.4358;3;0;0.2;0.0926;7226.7999
11.04.2001 00:00:00;46;-223;-136032.8585;2;0;0;-0.0898;-7013.35
11.04.2001 00:00:00;28;509;-129669.3364;3;0;0.2;0.0962;7508.7679
11.04.2001 00:00:00;13;-383;-61542.6006;2;0;0;-0.0981;-7660
11.04.2001 00:00:00;12;261;-10514.7642;3;0;0.2;0.0996;7778.061
11.04.2001 00:00:00;26;-133;-29915.8283;2;0;0;-0.1063;-8298.6148
25.04.2001 00:00:00;28;586;9887.0687;3;0;0.33;0.1176;9087.6882
25.04.2001 00:00:00;12;-257;-7885.7553;3;0;0.1;-0.0965;-7459.168
09.05.2001 00:00:00;12;260;-7936.1801;3;0;0.2;0.0988;7684.560
09.05.2001 00:00:00;28;-780;-12660.9564;3;0;0.165;-0.1489;-11586.1201
23.05.2001 00:00:00;17;168;10058.3236;3;0;0.33;0.1325;10305.1200
23.05.2001 00:00:00;12;-268;-7783.4351;3;0;0.1;-0.1037;-8068.140
23.05.2001 00:00:00;28;178;-22602.6748;3;0;0.2;0.0342;2657.5401
23.05.2001 00:00:00;33;-1942;-24092.2579;2;0;0;-0.0980;-7622.350
23.05.2001 00:00:00;20;106;7779.2102;1;0;0.1;0.0991;7711.50
06.06.2001 00:00:00;28;590;9266.9714;3;0;0.3184;0.1151;8970.3603
