PortfolioAsof;PortfolioValue;AllocationToRisk
27.08.2001 00:00:00;136837.8780;0.9766
28.08.2001 00:00:00;134627.9398;0.9763
29.08.2001 00:00:00;134429.9681;0.9762
30.08.2001 00:00:00;131040.3383;0.7839
03.09.2001 00:00:00;132945.4834;0.7870
04.09.2001 00:00:00;133173.6891;0.7873
05.09.2001 00:00:00;133716.6126;0.7882
06.09.2001 00:00:00;132653.7811;0.3721
10.09.2001 00:00:00;129642.8972;0.3576
11.09.2001 00:00:00;129592.8972;0.3081
12.09.2001 00:00:00;129592.8972;0.3081
13.09.2001 00:00:00;129492.0874;0
17.09.2001 00:00:00;129492.0874;0
18.09.2001 00:00:00;129492.0874;0
19.09.2001 00:00:00;129492.0874;0
20.09.2001 00:00:00;129492.0874;0
24.09.2001 00:00:00;129492.0874;0
25.09.2001 00:00:00;129492.0874;0
26.09.2001 00:00:00;129492.0874;0
27.09.2001 00:00:00;129492.0874;0
01.10.2001 00:00:00;129492.0874;0
02.10.2001 00:00:00;129492.0874;0
03.10.2001 00:00:00;129492.0874;0
04.10.2001 00:00:00;129492.0874;0
08.10.2001 00:00:00;129492.0874;0
09.10.2001 00:00:00;129492.0874;0
10.10.2001 00:00:00;129492.0874;0
11.10.2001 00:00:00;129492.0874;0
15.10.2001 00:00:00;129492.0874;0
16.10.2001 00:00:00;129492.0874;0
17.10.2001 00:00:00;129492.0874;0
18.10.2001 00:00:00;129492.0874;0
22.10.2001 00:00:00;129492.0874;0
23.10.2001 00:00:00;129492.0874;0
24.10.2001 00:00:00;129492.0874;0
25.10.2001 00:00:00;129492.0874;0
29.10.2001 00:00:00;129492.0874;0
30.10.2001 00:00:00;129492.0874;0
31.10.2001 00:00:00;129492.0874;0
01.11.2001 00:00:00;129492.0874;0
05.11.2001 00:00:00;129492.0874;0
06.11.2001 00:00:00;129492.0874;0
07.11.2001 00:00:00;129492.0874;0
08.11.2001 00:00:00;129492.0874;0
12.11.2001 00:00:00;129492.0874;0
13.11.2001 00:00:00;129492.0874;0
14.11.2001 00:00:00;129492.0874;0
15.11.2001 00:00:00;129492.0874;0
19.11.2001 00:00:00;129492.0874;0
20.11.2001 00:00:00;129492.0874;0
21.11.2001 00:00:00;129492.0874;0
22.11.2001 00:00:00;129492.0874;0
26.11.2001 00:00:00;129492.0874;0
27.11.2001 00:00:00;129492.0874;0
28.11.2001 00:00:00;129492.0874;0
29.11.2001 00:00:00;129492.0874;0
03.12.2001 00:00:00;129492.0874;0
04.12.2001 00:00:00;129492.0874;0
05.12.2001 00:00:00;129492.0874;0
06.12.2001 00:00:00;129492.0874;0
10.12.2001 00:00:00;129492.0874;0
11.12.2001 00:00:00;129492.0874;0
12.12.2001 00:00:00;129492.0874;0
13.12.2001 00:00:00;129492.0874;0
17.12.2001 00:00:00;129492.0874;0
18.12.2001 00:00:00;129492.0874;0
19.12.2001 00:00:00;129492.0874;0
20.12.2001 00:00:00;129492.0874;0
24.12.2001 00:00:00;129492.0874;0
25.12.2001 00:00:00;129492.0874;0
26.12.2001 00:00:00;129492.0874;0
27.12.2001 00:00:00;129492.0874;0
31.12.2001 00:00:00;129492.0874;0
01.01.2002 00:00:00;129492.0874;0
02.01.2002 00:00:00;129492.0874;0
03.01.2002 00:00:00;129492.0874;0
07.01.2002 00:00:00;129492.0874;0
08.01.2002 00:00:00;129492.0874;0
09.01.2002 00:00:00;129492.0874;0
10.01.2002 00:00:00;129492.0874;0
14.01.2002 00:00:00;129492.0874;0
15.01.2002 00:00:00;129492.0874;0
16.01.2002 00:00:00;129492.0874;0
17.01.2002 00:00:00;129492.0874;0
21.01.2002 00:00:00;129492.0874;0
22.01.2002 00:00:00;129492.0874;0
23.01.2002 00:00:00;129492.0874;0
24.01.2002 00:00:00;129492.0874;0
28.01.2002 00:00:00;129492.0874;0
29.01.2002 00:00:00;129492.0874;0
30.01.2002 00:00:00;129492.0874;0
31.01.2002 00:00:00;129492.0874;0
04.02.2002 00:00:00;129492.0874;0
05.02.2002 00:00:00;129492.0874;0
06.02.2002 00:00:00;129492.0874;0
07.02.2002 00:00:00;129492.0874;0
11.02.2002 00:00:00;129492.0874;0
12.02.2002 00:00:00;129492.0874;0
13.02.2002 00:00:00;129492.0874;0
14.02.2002 00:00:00;129763.3940;0.2032
18.02.2002 00:00:00;130470.0278;0.2075
19.02.2002 00:00:00;130346.6770;0.2067
20.02.2002 00:00:00;130607.3499;0.2083
21.02.2002 00:00:00;131030.4556;0.2109
25.02.2002 00:00:00;131132.6788;0.2115
26.02.2002 00:00:00;131025.4586;0.2108
27.02.2002 00:00:00;131183.2686;0.2118
28.02.2002 00:00:00;131133.9235;0.8095
04.03.2002 00:00:00;132923.3284;0.8121
05.03.2002 00:00:00;132945.8081;0.8121
06.03.2002 00:00:00;133090.3819;0.8123
07.03.2002 00:00:00;132344.2029;0.9764
11.03.2002 00:00:00;131615.7017;0.9763
12.03.2002 00:00:00;132233.8606;0.9764
13.03.2002 00:00:00;131531.7511;0.9763
14.03.2002 00:00:00;130538.5127;0.9836
18.03.2002 00:00:00;130505.0896;0.9836
19.03.2002 00:00:00;131135.1200;0.9409
20.03.2002 00:00:00;131085.6330;0.9408
21.03.2002 00:00:00;131964.5275;0.9914
25.03.2002 00:00:00;130571.2918;0.9913
26.03.2002 00:00:00;131196.8808;0.9914
27.03.2002 00:00:00;132760.8036;0.9915
28.03.2002 00:00:00;134098.3811;0.9799
01.04.2002 00:00:00;133762.1500;0.9799
02.04.2002 00:00:00;132719.5751;0.9797
03.04.2002 00:00:00;133145.4686;0.9798
04.04.2002 00:00:00;131092.3217;0.9591
08.04.2002 00:00:00;133805.9921;0.9599
09.04.2002 00:00:00;133995.8038;0.9600
10.04.2002 00:00:00;135680.3594;0.9605
11.04.2002 00:00:00;135374.3578;0.9604
15.04.2002 00:00:00;138159.3970;0.9612
16.04.2002 00:00:00;139665.0384;0.9616
17.04.2002 00:00:00;138381.4565;0.9613
18.04.2002 00:00:00;137712.7423;0.9763
22.04.2002 00:00:00;136987.2070;0.9762
23.04.2002 00:00:00;138330.6264;0.9764
24.04.2002 00:00:00;138840.7714;0.9765
25.04.2002 00:00:00;137624.2026;0.9763
29.04.2002 00:00:00;140534.7951;0.9768
30.04.2002 00:00:00;141755.9069;0.9770
01.05.2002 00:00:00;141928.8808;0.9770
02.05.2002 00:00:00;142901.4662;0.7775
06.05.2002 00:00:00;142150.9997;0.7763
07.05.2002 00:00:00;139421.6040;0.7720
08.05.2002 00:00:00;139821.8544;0.7726
09.05.2002 00:00:00;139968.4841;0.3860
13.05.2002 00:00:00;138688.4144;0.3803
14.05.2002 00:00:00;142178.3160;0.3955
15.05.2002 00:00:00;143094.1548;0.3994
16.05.2002 00:00:00;144035.0582;0.4033
20.05.2002 00:00:00;142252.5687;0.3958
21.05.2002 00:00:00;141920.4225;0.3944
22.05.2002 00:00:00;141041.8781;0.3906
23.05.2002 00:00:00;140421.1178;0.3879
27.05.2002 00:00:00;142466.6517;0.3967
28.05.2002 00:00:00;142532.3181;0.3970
29.05.2002 00:00:00;142685.9731;0.3977
30.05.2002 00:00:00;142508.4128;0.3749
03.06.2002 00:00:00;144004.1752;0.3814
04.06.2002 00:00:00;142422.6286;0.3745
05.06.2002 00:00:00;143220.9859;0.3780
06.06.2002 00:00:00;143120.9859;0
