Asof;Cash
13.06.2001 00:00:00;3712.5732
13.06.2001 00:00:00;-4715.1516
13.06.2001 00:00:00;-12215.3762
13.06.2001 00:00:00;-20643.3062
13.06.2001 00:00:00;-29061.7507
13.06.2001 00:00:00;-37853.1323
13.06.2001 00:00:00;-46273.6766
13.06.2001 00:00:00;-38504.9554
13.06.2001 00:00:00;-30657.8819
13.06.2001 00:00:00;-27427.1063
13.06.2001 00:00:00;-19290.4722
13.06.2001 00:00:00;-11142.0662
13.06.2001 00:00:00;-18952.3232
13.06.2001 00:00:00;-11142.0662
13.06.2001 00:00:00;-3645.1950
13.06.2001 00:00:00;4775.3493
25.06.2001 00:00:00;12545.2616
25.06.2001 00:00:00;20142.1220
27.06.2001 00:00:00;27251.6505
27.06.2001 00:00:00;21616.4482
27.06.2001 00:00:00;15005.9476
27.06.2001 00:00:00;7388.9975
27.06.2001 00:00:00;-244.1911
27.06.2001 00:00:00;-7877.6119
27.06.2001 00:00:00;-15470.6371
27.06.2001 00:00:00;-23108.7011
27.06.2001 00:00:00;-30738.5700
27.06.2001 00:00:00;-38366.4190
27.06.2001 00:00:00;-46003.0322
27.06.2001 00:00:00;-53622.1752
27.06.2001 00:00:00;-47647.7814
27.06.2001 00:00:00;-41021.6622
27.06.2001 00:00:00;-33191.5903
27.06.2001 00:00:00;-3708.3641
27.06.2001 00:00:00;-10817.8926
27.06.2001 00:00:00;3982.4467
10.07.2001 00:00:00;4515.0723
10.07.2001 00:00:00;11556.6864
11.07.2001 00:00:00;11717.1454
11.07.2001 00:00:00;19347.0626
11.07.2001 00:00:00;27824.5393
11.07.2001 00:00:00;20265.6545
11.07.2001 00:00:00;12716.7020
11.07.2001 00:00:00;5185.0926
11.07.2001 00:00:00;-2366.7715
11.07.2001 00:00:00;-9928.3054
11.07.2001 00:00:00;-17475.5123
11.07.2001 00:00:00;-25031.1165
11.07.2001 00:00:00;-32589.8094
11.07.2001 00:00:00;-40133.0850
11.07.2001 00:00:00;-47690.9712
11.07.2001 00:00:00;-55240.9190
11.07.2001 00:00:00;-47844.8045
11.07.2001 00:00:00;-40246.4613
11.07.2001 00:00:00;-31784.0363
11.07.2001 00:00:00;-23985.9323
11.07.2001 00:00:00;-16749.5973
11.07.2001 00:00:00;-8483.2167
11.07.2001 00:00:00;-8643.6757
11.07.2001 00:00:00;-861.4130
11.07.2001 00:00:00;6688.5348
25.07.2001 00:00:00;14329.5739
25.07.2001 00:00:00;21454.6141
25.07.2001 00:00:00;14993.2367
25.07.2001 00:00:00;7383.5479
25.07.2001 00:00:00;-224.9715
25.07.2001 00:00:00;-7816.6718
25.07.2001 00:00:00;-15382.6623
25.07.2001 00:00:00;-22992.0673
25.07.2001 00:00:00;-30600.3326
25.07.2001 00:00:00;-38209.2880
25.07.2001 00:00:00;-31649.6992
25.07.2001 00:00:00;-14918.3644
25.07.2001 00:00:00;-22043.4046
25.07.2001 00:00:00;-14918.3644
25.07.2001 00:00:00;-7551.6261
25.07.2001 00:00:00;144.3236
25.07.2001 00:00:00;4230.9923
26.07.2001 00:00:00;11681.9412
02.08.2001 00:00:00;18917.9094
06.08.2001 00:00:00;26208.0021
08.08.2001 00:00:00;19671.2181
08.08.2001 00:00:00;12205.1584
08.08.2001 00:00:00;4738.9579
08.08.2001 00:00:00;-2699.9062
08.08.2001 00:00:00;-10167.8206
08.08.2001 00:00:00;-17624.9851
08.08.2001 00:00:00;-25084.2418
08.08.2001 00:00:00;-32545.2660
08.08.2001 00:00:00;-24718.0268
08.08.2001 00:00:00;-17012.9714
08.08.2001 00:00:00;-14097.6754
08.08.2001 00:00:00;-8881.8385
08.08.2001 00:00:00;-2380.7613
08.08.2001 00:00:00;5080.2629
09.08.2001 00:00:00;11726.9861
09.08.2001 00:00:00;18838.2594
14.08.2001 00:00:00;26250.3180
15.08.2001 00:00:00;18978.6615
15.08.2001 00:00:00;11710.3784
15.08.2001 00:00:00;4437.5701
15.08.2001 00:00:00;-2834.6200
15.08.2001 00:00:00;-10107.0279
15.08.2001 00:00:00;-17380.3851
15.08.2001 00:00:00;-24641.6475
15.08.2001 00:00:00;-31901.9558
15.08.2001 00:00:00;-39173.7596
15.08.2001 00:00:00;-46438.4775
15.08.2001 00:00:00;-53697.3700
15.08.2001 00:00:00;-46474.2997
15.08.2001 00:00:00;-39249.9376
15.08.2001 00:00:00;-31487.8396
15.08.2001 00:00:00;-22859.3971
15.08.2001 00:00:00;-15561.8679
15.08.2001 00:00:00;-8188.9309
15.08.2001 00:00:00;-862.9016
15.08.2001 00:00:00;6395.9909
22.08.2001 00:00:00;6514.7434
22.08.2001 00:00:00;-350.5913
22.08.2001 00:00:00;-7442.6105
22.08.2001 00:00:00;-14513.5334
22.08.2001 00:00:00;-21595.1625
22.08.2001 00:00:00;-28687.1817
22.08.2001 00:00:00;-35778.8092
22.08.2001 00:00:00;-42859.0778
22.08.2001 00:00:00;-49956.7546
22.08.2001 00:00:00;-41359.2698
22.08.2001 00:00:00;-34294.5379
22.08.2001 00:00:00;-27320.5286
22.08.2001 00:00:00;-20321.9784
22.08.2001 00:00:00;-13450.2759
22.08.2001 00:00:00;-6653.8228
22.08.2001 00:00:00;-6772.5753
22.08.2001 00:00:00;495.5612
29.08.2001 00:00:00;1010.2783
