TicketFee;TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur
50;21.10.2009 00:00:00;430872;2418;6430;3;0;0.10;0.0673;6427.7970
50;21.10.2009 00:00:00;405630;390;9326;3;0;0.2;0.0976;9325.2753
50;21.10.2009 00:00:00;417427;-736;-6414;2;0;0;-0.0671;-6414.2698
50;21.10.2009 00:00:00;407291;-580;-4901;3;0;0.0575066250966392627667129186;-0.0514;-4909.3724
50;28.10.2009 00:00:00;428661;-443;-3900;2;0;0;-0.0460;-3908.3923
50;28.10.2009 00:00:00;430770;1675;4250.3466;1;0;0.05;0.0500;4248.1964
50;28.10.2009 00:00:00;432624;8417;4250.3466;1;0;0.05;0.0500;4249.8865
50;28.10.2009 00:00:00;407291;-648;-5022;2;0;0;-0.0591;-5022.00
50;04.11.2009 00:00:00;430185;2972;4386.6687;1;0;0.05;0.0500;4385.3371
50;04.11.2009 00:00:00;428190;-434;-4289;2;0;0;-0.0490;-4298.7762
50;24.11.2009 00:00:00;432993;-2954;-4571;2;0;0;-0.0492;-4572.3489
50;25.11.2009 00:00:00;430564;1576;4654.2584;1;0;0.05;0.0500;4653.2091
50;16.12.2009 00:00:00;428169;224;4778.9318;1;0;0.05;0.0499;4767.9659
50;16.12.2009 00:00:00;405415;1203;4778.9318;1;0;0.05;0.0500;4776.4207
50;16.12.2009 00:00:00;419443;280;4778.9318;1;0;0.05;0.0499;4772.9759
50;16.12.2009 00:00:00;405630;-608;-14690;3;0;0.0483557744247807174735082276;-0.1538;-14695.6534
50;30.12.2009 00:00:00;432624;4583;3483;3;0;0.10;0.0353;3482.4443
50;30.12.2009 00:00:00;405630;-192;-4941;2;0;0;-0.0503;-4966.5204
50;06.01.2010 00:00:00;432521;3888;5035.4123;1;0;0.05;0.0500;5034.1361
50;06.01.2010 00:00:00;407373;11;5035.4123;1;0;0.05;0.0462;4649.4762
50;06.01.2010 00:00:00;431668;310;5035.4123;1;0;0.05;0.0499;5024.4701
50;06.01.2010 00:00:00;424063;99;5035.4123;1;0;0.05;0.0495;4988.1194
50;06.01.2010 00:00:00;403711;-1055;-20370;2;0;0;-0.2023;-20370.3782
50;13.01.2010 00:00:00;427995;1967;5079.8534;1;0;0.05;0.0500;5078.5690
50;13.01.2010 00:00:00;430564;-1577;-4330;2;0;0;-0.0426;-4332.6932
50;27.01.2010 00:00:00;419443;237;4544;3;0;0.10;0.0458;4532.0704
50;27.01.2010 00:00:00;424063;-100;-4524;2;0;0;-0.0462;-4569.5097
50;10.02.2010 00:00:00;419443;479;9786;3;0;0.2;0.0961;9774.3974
50;10.02.2010 00:00:00;427577;-2050;-9222;3;0;0.1167222601814856818805563792;-0.0907;-9224.7540
50;03.03.2010 00:00:00;410294;138;5308.9578;1;0;0.05;0.0498;5284.8911
50;03.03.2010 00:00:00;427995;-1967;-4614;2;0;0;-0.0435;-4614.3245
50;10.03.2010 00:00:00;430770;1586;5267;3;0;0.10;0.0486;5264.4732
50;10.03.2010 00:00:00;410294;-138;-5062;2;0;0;-0.0468;-5062.2844
50;24.03.2010 00:00:00;432624;15064;11806;3;0;0.2;0.1074;11805.7550
50;24.03.2010 00:00:00;430185;-2972;-4060;2;0;0;-0.0369;-4060.3607
50;24.03.2010 00:00:00;427577;-2637;-10483;2;0;0;-0.0953;-10483.2142
