TransactionDateTime;PortfolioAsof;Shares;TransactionType;SecurityId;PerformanceScore;RebalanceScore
;07.02.2000 00:00:00;;;404161;14.14;62.089165773158304999934921167
;07.02.2000 00:00:00;;;414435;16.27;48.395756115556298945032045403
;07.02.2000 00:00:00;;;403790;34.42;44.746
;07.02.2000 00:00:00;;;408676;11.66;38.620644041041831097079715867
;07.02.2000 00:00:00;;;400027;13.65;35.551577009912477508488870158
;07.02.2000 00:00:00;;;404248;8.43;10.959
;07.02.2000 00:00:00;;;412620;1.44;3.4483777460711661843515071541
;08.02.2000 00:00:00;;;400061;76.59;583.79375517925299527602710662
;08.02.2000 00:00:00;;;405359;59.50;517.51020931225971806920119609
;08.02.2000 00:00:00;;;428361;52.33;367.04031208653398690795217379
;08.02.2000 00:00:00;;;428530;48.62;310.81464110380234237124979945
;08.02.2000 00:00:00;;;403790;46.90;181.09673489121676067687348911
;08.02.2000 00:00:00;;;428024;32.59;129.25800051923567920098421010
;08.02.2000 00:00:00;;;407892;35.26;126.01577608882303033477598478
;08.02.2000 00:00:00;;;403730;22.83;108.63619950707262267277803981
;08.02.2000 00:00:00;;;408644;21.87;77.379346820809248554913294805
;08.02.2000 00:00:00;;;404161;14.43;63.977145202460269368547252292
;08.02.2000 00:00:00;;;408676;14.54;54.551330877839165131982811546
;08.02.2000 00:00:00;;;431645;31.90;41.470
;08.02.2000 00:00:00;;;414435;14.05;40.687631527858034992856111217
;08.02.2000 00:00:00;;;400027;13.00;32.929611082905020531192655848
;08.02.2000 00:00:00;;;404248;6.71;8.723
;08.02.2000 00:00:00;;;412620;0.73;0.949
;09.02.2000 00:00:00;;;405359;67.05;661.65547202050405809483126867
;09.02.2000 00:00:00;;;400061;77.51;637.39087034373676662934184933
;09.02.2000 00:00:00;;;428530;49.84;343.39274429900309233271360845
;09.02.2000 00:00:00;;;428361;48.06;306.45268260147700933142496239
;09.02.2000 00:00:00;;;403790;50.28;222.77078678485092667203867849
;09.02.2000 00:00:00;;;408676;27.88;170.18682557221783741120757695
;09.02.2000 00:00:00;;;428024;32.36;136.11135387981294832341806247
;09.02.2000 00:00:00;;;403730;22.27;109.27519543827120570198538560
;09.02.2000 00:00:00;;;408644;25.41;106.34350511338372610048910627
;09.02.2000 00:00:00;;;407892;30.45;101.96762932590200047403929118
;09.02.2000 00:00:00;;;404161;11.49;52.546278704082578394693037572
;09.02.2000 00:00:00;;;400027;13.54;37.244721402797885160871721546
;09.02.2000 00:00:00;;;431645;26.34;34.242
;09.02.2000 00:00:00;;;414435;12.01;31.926819694013759112845261315
;09.02.2000 00:00:00;;;404200;22.95;11.475
;09.02.2000 00:00:00;;;404195;20.75;10.375
;09.02.2000 00:00:00;;;402063;17.00;8.500
;09.02.2000 00:00:00;;;405480;16.47;8.235
;09.02.2000 00:00:00;;;424607;13.58;6.790
;09.02.2000 00:00:00;;;400010;13.07;6.535
;09.02.2000 00:00:00;;;404248;4.95;6.435
;09.02.2000 00:00:00;;;426897;10.21;5.105
;09.02.2000 00:00:00;;;402331;7.31;3.655
;09.02.2000 00:00:00;;;430130;4.09;2.045
;09.02.2000 00:00:00;;;412620;-0.56;-0.728
;10.02.2000 00:00:00;;;400061;75.92;657.22705543998588904029480963
;10.02.2000 00:00:00;;;405359;61.77;562.05686629645450662110209312
;10.02.2000 00:00:00;;;428530;51.38;385.30742618510584082822925414
;10.02.2000 00:00:00;;;428361;51.54;353.50629067109521649396004186
;10.02.2000 00:00:00;;;403790;51.42;236.69856599516518936341659953
;10.02.2000 00:00:00;;;408676;28.00;189.59631675874769797421731122
;10.02.2000 00:00:00;;;428024;36.28;170.21312168076471497075195256
;10.02.2000 00:00:00;;;407892;30.84;104.83204768620466057975027381
;10.02.2000 00:00:00;;;403730;19.31;87.43429282129025942430907454
;10.02.2000 00:00:00;;;404161;12.72;60.592200465964490092831348907
;10.02.2000 00:00:00;;;408644;16.53;54.626909293019119608714984436
;14.02.2000 00:00:00;;;405359;75.24;807.7676616372393695472879293
;14.02.2000 00:00:00;;;428361;70.57;698.65238111028141441750532248
;14.02.2000 00:00:00;;;400061;66.29;537.07336662767301049491038917
;14.02.2000 00:00:00;;;428530;58.69;502.35235834882645501646832327
;14.02.2000 00:00:00;;;403790;49.71;230.49123690572119258662369058
;14.02.2000 00:00:00;;;428024;34.31;161.60804530382350847676877582
;14.02.2000 00:00:00;;;408676;24.87;147.24095606419363325440673507
;14.02.2000 00:00:00;;;403730;20.28;102.36659132038325757315166919
;14.02.2000 00:00:00;;;407892;27.18;90.31999486524424360135377635
;14.02.2000 00:00:00;;;404161;13.07;66.266362975244740689748925835
;14.02.2000 00:00:00;;;408644;15.61;48.706115162294353045798132508
;15.02.2000 00:00:00;;;405359;79.16;919.1916499831581987447053289
;15.02.2000 00:00:00;;;428530;61.17;546.85279172525740602674568944
;15.02.2000 00:00:00;;;428361;64.59;545.30583637168100443229156979
;15.02.2000 00:00:00;;;400061;66.00;530.90995557411881251916557131
;15.02.2000 00:00:00;;;403790;51.47;245.65277544990598979317754498
;15.02.2000 00:00:00;;;408676;25.32;146.38570481452249408050513022
;15.02.2000 00:00:00;;;428024;31.73;137.82174672573295899786965737
;15.02.2000 00:00:00;;;403730;21.43;108.90833770109009175788353978
;15.02.2000 00:00:00;;;407892;25.58;78.208370168738678432115871405
;15.02.2000 00:00:00;;;404161;13.01;67.476198546594010722100340006
;15.02.2000 00:00:00;;;408644;15.61;48.289663405958203646064917735
;16.02.2000 00:00:00;;;400061;79.01;755.14154942393768555691818309
;16.02.2000 00:00:00;;;405359;63.67;623.67770354549337889790687743
;16.02.2000 00:00:00;;;428361;61.98;505.55314314917039749056470815
;16.02.2000 00:00:00;;;403790;66.57;439.61769460112812248186946011
;16.02.2000 00:00:00;;;428530;53.47;422.98547414300229958821327343
;16.02.2000 00:00:00;;;408676;29.59;192.46111365430149960536700868
;16.02.2000 00:00:00;;;403730;22.51;120.52156907694967959189666106
;16.02.2000 00:00:00;;;428024;27.40;111.08931773710032458095177479
;16.02.2000 00:00:00;;;407892;24.63;75.529715217309850757530735718
;16.02.2000 00:00:00;;;404161;13.89;71.837292840315328669831908594
